IOC,Continent
TPE,AS
AFG,AS
ALB,EU
ALG,AF
ASA,OC
AND,EU
ANG,AF
AIA,NA
 ,AN
ANT,NA
ARG,SA
ARM,AS
ARU,NA
AUS,OC
AUT,EU
AZE,AS
BAH,NA
BRN,AS
BAN,AS
BAR,NA
BLR,EU
BEL,EU
BIZ,NA
BEN,AF
BER,NA
BHU,AS
BOL,SA
AHO,NA
BIH,EU
BOT,AF
 ,AN
BRA,SA
 ,AS
IVB,NA
BRU,AS
BUL,EU
BUR,AF
BDI,AF
CPV,AF
CAM,AS
CMR,AF
CAN,NA
CAY,NA
CAF,AF
CHA,AF
CHI,SA
CHN,AS
HKG,AS
MAC,AS
 ,OC
 ,AS
COL,SA
COM,AF
CGO,AF
COK,OC
CRC,NA
CRO,EU
CUB,NA
,NA
CYP,EU
CZE,EU
CIV,AF
PRK,AS
COD,AF
DEN,EU
DJI,AF
DMA,NA
DOM,NA
ECU,SA
EGY,AF
ESA,NA
GEQ,AF
ERI,AF
EST,EU
SWZ,AF
ETH,AF
FLK,SA
FAR,EU
FIJ,OC
FIN,EU
FRA,EU
FGU,SA
FPO,OC
 ,AN
GAB,AF
GAM,AF
GEO,AS
GER,EU
GHA,AF
GIB,EU
GRE,EU
GRL,NA
GRN,NA
GUD,NA
GUM,OC
GUA,NA
 ,EU
GUI,AF
GBS,AF
GUY,SA
HAI,NA
 ,AN
 ,EU
HON,NA
HUN,EU
ISL,EU
IND,AS
INA,AS
IRI,AS
IRQ,AS
IRL,EU
 ,EU
ISR,AS
ITA,EU
JAM,NA
JPN,AS
 ,EU
JOR,AS
KAZ,AS
KEN,AF
KIR,OC
KUW,AS
KGZ,AS
LAO,AS
LAT,EU
LIB,AS
LES,AF
LBR,AF
LBA,AF
LIE,EU
LTU,EU
LUX,EU
MAD,AF
MAW,AF
MAS,AS
MDV,AS
MLI,AF
MLT,EU
MSH,OC
MRT,NA
MTN,AF
MRI,AF
MAY,AF
MEX,NA
FSM,OC
MON,EU
MGL,AS
MGO,EU
MNT,NA
MAR,AF
MOZ,AF
MYA,AS
NAM,AF
NRU,OC
NEP,AS
NED,EU
NCD,OC
NZL,OC
NCA,NA
NIG,AF
NGR,AF
NIU,OC
NFI,OC
NMA,OC
NOR,EU
OMA,AS
PAK,AS
PLW,OC
PAN,NA
PNG,OC
PAR,SA
PER,SA
PHI,AS
 ,OC
POL,EU
POR,EU
PUR,NA
QAT,AS
KOR,AS
MDA,EU
ROU,EU
RUS,EU
RWA,AF
REU,AF
 ,NA
HEL,AF
SKN,NA
LCA,NA
 ,NA
SPM,NA
VIN,NA
SAM,OC
SMR,EU
STP,AF
,
KSA,AS
SEN,AF
SRB,EU
SEY,AF
SLE,AF
SIN,AS
,NA
SVK,EU
SLO,EU
SOL,OC
SOM,AF
RSA,AF
 ,AN
,AF
ESP,EU
SRI,AS
PLE,AS
SUD,AF
SUR,SA
 ,EU
SWE,EU
SUI,EU
SYR,AS
TJK,AS
THA,AS
MKD,EU
TLS,OC
TOG,AF
 ,OC
TGA,OC
TTO,NA
TUN,AF
TUR,AS
TKM,AS
TKS,NA
TUV,OC
UGA,AF
UKR,EU
UAE,AS
GBR,EU
TAN,AF
 ,OC
ISV,NA
USA,NA
URU,SA
UZB,AS
VAN,OC
VEN,SA
VIE,AS
WAF,OC
 ,AF
YEM,AS
ZAM,AF
ZIM,AF
 ,EU
URS,AS
UAR,AF
YAR,AS
SGP,AS
EUN,UT
FRG,EU
GDR,EU
TCH,EU
YMD,AS
ANZ,OC
SCG,EU
IOA,UT
YUG,EU
MAL,AS
ROT,UT
SAA,EU
RHO,AF
BOH,EU
MNE,EU
WIF,EU
NBO,AS
VNM,AS
MHL,OC
NFL,NA
KOS,EU
SSD,AF
